acl 2.2.53-3
libsndfile 1.0.28-3
libsoup 2.70.0-1
libsoxr 0.1.3-2
libssh 0.9.4-1
libssh2 1.9.0-2
libsynctex 2020.54586-4
libtasn1 4.16.0-1
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtirpc 1.2.6-1
libtool 2.4.6+42+gb88cebd5-13
libunistring 0.9.10-2
libunwind 1.3.1-2
libusb 1.0.23-2
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libutil-linux 2.36-1
libva 2.8.0-1
libvdpau 1.4-1
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.9.0-1
libwacom 1.4.1-1
libwebp 1.1.0-1
libx11 1.6.10-2
libxau 1.0.9-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-2
libxml2 2.9.10-2
libxmu 1.1.3-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.6.1-2
licenses 20200427-1
linux-api-headers 5.6.11-1
linux-firmware 20200721.2b823fc-1
linux-lts 5.4.55-1
llvm-libs 10.0.1-1
lm_sensors 3.6.0-2
lvm2 2.02.187-3
lximage-qt 0.15.0-1
lxmenu-data 0.1.5-3
lxqt-about 0.15.0-1
lxqt-admin 0.15.0-1
lxqt-config 0.15.0-1
lxqt-globalkeys 0.15.0-1
lxqt-notificationd 0.15.0-1
lxqt-openssh-askpass 0.15.0-1
lxqt-panel 0.15.1-1
lxqt-policykit 0.15.0-1
lxqt-powermanagement 0.15.0-1
lxqt-qtplugin 0.15.1-2
lxqt-runner 0.15.0-3
lxqt-session 0.15.0-1
lxqt-sudo 0.15.0-1
lxqt-themes 0.15.0-1
lz4 1:1.9.2-2
lzo 2.10-3
mailcap 2.1.49-1
md4c 0.4.4-1
mdadm 4.1-2
media-player-info 24-2
menu-cache 1.1.0-2
mesa 20.1.4-3
mkinitcpio 28-1
mkinitcpio-busybox 1.31.1-1
mpfr 4.0.2-2
mtdev 1.1.6-1
muparser 2.3.2-1
nano 5.0-1
ncurses 6.2-1
ndctl 69-1
nettle 3.6-1
noto-fonts 20190926-4
npth 1.6-2
nspr 4.27-1
nss 3.55-2
ntfs-3g 2017.3.23-4
obconf-qt 0.15.0-1
openal 1.20.1-2
openbox 3.6.1-7
opencore-amr 0.1.5-4
openjpeg2 2.3.1-2
openssl 1.1.1.g-2
opus 1.3.1-2
orc 0.4.31-2
os-prober 1.77-2
p11-kit 0.23.20-5
pacman 5.2.2-1
pacman-mirrorlist 20200801-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
parted 3.3-2
pavucontrol-qt 0.15.0-1
pciutils 3.7.0-1
pcmanfm-qt 0.15.1-1
pcre 8.44-1
pcre2 10.35-1
perl 5.32.0-1
pinentry 1.1.0-5
pixman 0.40.0-1
polkit 0.116-5
polkit-qt5 0.113.0-2
poppler 0.90.1-1
poppler-qt5 0.90.1-1
popt 1.18-1
procps-ng 3.3.16-2
psmisc 23.3-2
pulseaudio 13.0-3
python 3.8.5-1
qpdfview 0.4.18-1
qt5-base 5.15.0-4
qt5-declarative 5.15.0-1
qt5-multimedia 5.15.0-1
qt5-speech 5.15.0-1
qt5-svg 5.15.0-1
qt5-wayland 5.15.0-1
qt5-x11extras 5.15.0-1
qterminal 0.15.0-1
qtermwidget 0.15.0-1
rav1e 0.3.3-1
readline 8.0.004-1
rest 0.8.1-3
rtkit 0.13-1
scrot 1.4-1
sddm 0.18.1-2
sdl2 2.0.12-2
sed 4.8-1
shadow 4.8.1-3
shared-mime-info 2.0+1+g6bf9e4f-2
solid 5.72.0-1
sonnet 5.72.0-1
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.32.3-1
srt 1.4.1-2
startup-notification 0.12-7
sudo 1.9.2-1
syntax-highlighting 5.72.0-1
sysfsutils 2.1.0-11
systemd 245.7-1
systemd-libs 245.7-1
systemd-sysvcompat 245.7-1
tar 1.32-3
tdb 1.4.3-2
thin-provisioning-tools 0.8.5-3
tslib 1.22-1
ttf-ubuntu-font-family 0.83-6
tzdata 2020a-1
udisks2 2.9.0-1
upower 0.99.11-3
usbmuxd 1.1.1-1
util-linux 2.36-1
v4l-utils 1.20.0-1
vid.stab 1.1-3
vmaf 1.5.2-1
volume_key 0.3.12-3
vulkan-icd-loader 1.2.148-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webrtc-audio-processing 0.3.1-2
wget 1.20.3-3
which 2.21-5
x264 3:0.159.r2999.296494a-1
x265 3.4-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xfsprogs 5.6.0-2
xkeyboard-config 2.30-2
xorg-fonts-encodings 1.0.5-2
xorg-server 1.20.8-3
xorg-server-common 1.20.8-3
xorg-setxkbmap 1.3.2-2
xorg-xauth 1.1-2
xorg-xkbcomp 1.4.3-1
xorg-xprop 1.2.4-2
xorg-xset 1.2.4-2
xorgproto 2020.1-1
xvidcore 1.3.7-2
xz 5.2.5-1
zita-alsa-pcmi 0.3.2-3
zita-resampler 1.6.2-3
zlib 1:1.2.11-4
zstd 1.4.5-1
